ch_name,x,y,z
L01,-0.089371,0.018934,0.017417
L02,-0.092274,0.010887,0.003988
L03,-0.092807,-0.004448,0.004011
L04,-0.090457,-0.012483,0.017629
L05,-0.087859,-0.013492,0.027346
L06,-0.084881,-0.013492,0.035527
L07,-0.080625,-0.012483,0.044641
L08,-0.073673,-0.004448,0.056582
L09,-0.073250,0.010887,0.056257
L10,-0.079657,0.018934,0.044105
R01,0.089371,0.018934,0.017417
R02,0.092274,0.010887,0.003988
R03,0.092807,-0.004448,0.004011
R04,0.090457,-0.012483,0.017629
R05,0.087859,-0.013492,0.027346
R06,0.084881,-0.013492,0.035527
R07,0.080625,-0.012483,0.044641
R08,0.073673,-0.004448,0.056582
R09,0.073250,0.010887,0.056257
R10,0.079657,0.018934,0.044105
